              Gene  norm1			  norm2	        norm3	        norm4	        norm5	       norm6	        norm7	     norm8	        norm9	     norm10	        norm11	     norm12	        norm13	     norm14	       norm15	     norm16	        norm17	     norm18	        norm19	     norm20	        norm21	     norm22	        tumor1	     tumor2	        tumor3	     tumor4	        tumor5	     tumor6	       tumor7	    tumor8	        tumor9	     tumor10	  tumor11	     tumor12	  tumor13	     tumor14	  tumor15	     tumor16	  tumor17	     tumor18	  tumor19	     tumor20	  tumor21	    tumor22	        tumor23	    tumor24	        tumor25	     tumor26	  tumor27	     tumor28	  tumor29	    tumor30	        tumor31	     tumor32	  tumor33	     tumor34	  tumor35	     tumor36	  tumor37	     tumor38	  tumor39	    tumor40
            117     1465.86000      417.27625      761.83125      651.96875     1397.61750     2328.87120      713.98750      286.71375      390.27000      941.90875      742.72625      191.95625     1064.91500     2406.09500     2417.94130     1620.29620     3324.78500      926.80375     1864.34000     1730.09250     1019.60880     1723.26120      668.39875      456.93625     1516.73880      631.31250      462.46875     1072.30620      990.81250      556.51250     1879.67870     1590.53000      629.26500     1566.67130      458.68625      477.85625      683.19375      555.04875      891.32250     1437.38750     1250.49380      441.99125     1006.66500     1973.08870     2359.57130     2227.68250     1927.94250      449.64625      880.22000      720.35000     2497.07880     2765.56880     1309.10750      482.49875      613.75500     1635.62870     1685.39120      368.98000     1262.48880      514.13000      992.51125     2114.08250
            118      664.60625      373.88000      749.96125      717.92750     1015.40000     1119.25250      413.09500      368.94750      267.06000      481.71500      853.83500      191.70250      726.71625     1110.08000     1909.85500      926.33750     2114.13380     1005.07130     1239.35620     1432.29000      895.60250     1567.60370     2042.67380      774.60250     1431.92120      525.97500      613.51500      800.98000     1182.88380     1782.43120     2476.31120     1295.98750      453.96500     1194.96880     2344.50250     1563.64880     1008.13000     1100.41620      512.66625      586.90125      910.80125      708.61375     1362.08870     3046.24750     1496.59750     3260.93120     1911.52380      366.68500      589.54250      920.86625     2661.78120     1924.73000     1392.57630     1050.96250      686.12125     1324.15750     1820.30120      537.09125     1180.21000     1740.90000     1220.21000     1188.26880
            119     1398.86620     8535.35500     2331.92750     1267.70250     6225.42120     9159.35500     4704.26380     5482.76880      876.73500     1246.66880     6224.34380      773.64000     3756.47380     1912.92380     3640.71750     2733.27620     4093.17500     1090.45880     3682.46000     4831.63750     2235.00880     4333.82250     1021.71500     9984.59870     6962.72620     1071.29000     1156.55620      864.40375     2578.13870      686.87875      592.80750      295.91250      657.23500     4290.61120     1637.81750      850.16750     3853.27500      190.68625     2227.92120     2733.20870     2615.82870     1363.11000     2699.21120      337.20250     6511.17880     3729.49880     4890.60250     2236.78880     1608.28880     1514.91380     1595.58750     2811.10630     1540.34000      549.15000     3118.78750     2531.27000     9754.07000     2741.40880     2350.40250     1127.58130     3309.03500     2539.96870
            120     1599.65000     1282.75710      593.27857      500.90357     1384.72140     2522.97860      540.25000      188.54643      432.39286      756.07500     2354.68570      567.79286      985.52500     1112.02140     1466.92860     2447.99640     2998.38210      783.30357     1151.93210     2878.55360     1271.82860     2166.31790     1331.05360     2008.80000      726.25714      783.23214      785.30000      568.01786     1784.71790     2743.27500     4013.21430     1149.93930      606.36786      946.31786      877.76071      754.56071      806.95000      498.21429      680.89286      634.95714      435.06071     1070.54290     1082.55360     1439.62500     2745.01430     2161.75360     1561.70000      758.41071     2001.48930     1102.65000      407.58214      747.26071      544.43214      270.58571      843.81786     1098.70710     2441.62140      247.04286      680.04286      934.15714     2182.92500     2107.54640
            121     1141.67140      672.65595      382.20476      773.55952      822.37976     1514.95710      487.70952      343.58095      686.25000      510.11667     1133.88810      188.37500      676.49405     1142.75000     2395.47620      981.32381     1269.67620      919.53929      502.55000      678.42619     1114.20240     1310.56430      296.08452      462.43333     1351.01310      649.75238      647.39643      829.18452     1577.84400     1624.35240     1324.28810      945.62262      870.24643      759.87024      846.83571      384.46310      739.59762      361.43571      321.91429      874.14881      313.27619      656.19167      898.99643     1983.32380     2248.27260     1585.84760      975.69881      886.14167      990.67143      485.15119     1128.81190     1963.25360      821.72619      614.75119      371.17381      554.16905      531.13333      650.59881     1712.81190      752.55952      852.54643     1534.99400
            122      826.06375      188.23750      437.05250      506.09500     1107.05500      705.49000      259.17750      226.13000      300.51250      689.79625     1053.21630      319.36250      422.44750      699.67875      861.42375      724.86250      618.76000      994.05000     1081.47880      569.81125      721.42750      634.00125      488.44000      202.70875      618.14500      479.99500      478.97875      711.12500     1199.77500      818.55375     1081.56000      522.68625      634.54375      815.03250      466.94625      363.11875     1113.02630      358.55750      490.75000      704.16250      320.35875      457.90250      584.00125      694.41375     1193.89750     1369.92000      836.99000      646.83250      692.15625      266.86375      299.39875     1258.74500      765.07875      292.19625      609.56750      440.63250      590.19000      256.20750      526.07250      928.65625      551.45625     1988.06250
            123      737.86667      409.96905      371.88214      593.16190     1006.65950      540.94405      541.38929      258.19524      251.39643      534.14524     1683.20480      185.97619      565.33095      963.16786     1540.83810     1302.78570      773.96786     1097.35240     1461.46790      847.00595     1221.62380     1019.43210      403.63690      275.90952      710.84762      440.62381      548.58333      624.78333     1398.83330      937.00119     1197.82620      440.76310      631.83929      752.68095      404.26310      389.05238     1034.27860      442.07738      675.99524      720.49167      304.15000      511.31786      864.45714     1287.11670     2251.03570     1632.41190     1577.39050      738.25833      758.45833      238.48571      335.73095     1145.56550      586.32500      238.57976      542.78095      644.08333      580.81310      288.16071      753.19762     1129.95950      531.72262     1842.70120
            124      508.27143      632.18095      946.04762     2607.99640     1530.03690     1838.44880      383.55952      199.30476      348.31310      583.47738     1076.72500      182.42738      908.58214      748.99524     2552.38930     1467.74400     1430.45600      745.91667     1938.33450     1145.25360      478.19881     1821.36070     1354.69640      511.44762     1581.76550     1594.23210      370.17262      580.70000     1277.19640     2896.12740     2402.88450      812.35952      395.26071      861.88333      426.71310      588.45238     1271.02860      539.33690      457.90595      759.32024      467.80000      605.60595      996.58571     1711.78690      852.78929     1474.21670     5324.31190      337.28333      509.10595      525.89524     1426.85710     1170.91430      981.60119      544.90000      644.22500      668.32976     2084.13570      279.84286      631.13810      598.56190     2226.91670     1222.09050
            125     1760.05500      624.02125      237.43375      504.60375      586.12000     1416.68750      455.17375     1335.41250      369.97125      239.50625     1357.86130      190.44375     1718.93620     1284.03250     1672.71250     2243.94500     1324.33370      631.05375     1951.51880     1290.93500     1540.55000     1485.93880      272.10750      361.13000      333.50625      354.33125      433.90375     1410.71120     1963.45120      362.62875     1530.94880      387.00125      430.58000      916.69125     1016.27500      252.05625     1205.00250      180.82000      547.93625      883.51125     1588.10250      226.95125      689.06375      479.30250     2328.88500      593.58000     1209.45750     2040.37120     1191.05130      276.98125      680.89750     1255.93000     1201.95630      330.77500      239.72500     1171.89000     2062.19380      844.61375      728.59375      447.92750      552.82000      633.74750
            126      905.73500      963.00000      237.39125      371.49500      479.94625      907.24500      581.66000      451.83625      465.39375      183.15500     1005.75120      267.56375      556.87625      563.51625      435.42875      509.41375      599.33250      583.98250      719.93500      328.24375      417.91875      427.26625      275.81375      698.58500      789.23875      478.43000      473.61500     1157.11630     1124.35750      860.45000     1125.14370      179.76750      295.24750     1138.42500      490.96750      338.17375     1140.30120      322.15500      611.84125      533.67250      659.41500      365.43625      626.53625      429.78625      834.33875      469.81375      616.10000      808.76875      293.19750      340.79250      722.15000      948.10625      850.91875      447.25000      381.78750      340.04500      736.29625      351.28000      728.96500     1017.06250      397.31375      338.65125
            127      488.62250      448.90000      363.47125      501.62375      460.80375      740.61875      509.49875     1229.35000      258.15625      483.40875      441.55125      179.66375      444.95375      598.85750      873.56625      480.82500     1007.11500      834.68125      770.44875      558.61000      403.98375      703.19000     1341.23370      228.03625     1648.32500      668.46500      447.13000     1453.77380      700.29875     1108.18630      948.10000      549.78375     1244.82000     1144.44250      557.13250     1288.23000      741.79750     1766.02250      711.96500     1663.44630      395.93250      723.08750      961.82750     1845.74620      879.38875     2067.05620     2467.47750      527.82125      204.82625      869.69000     1428.11380     2080.27000     1145.07880      829.12250      821.22250      462.32500      536.58500      477.21750     1598.16880      554.25625      683.06250     1629.55500
            128      400.59750      309.39375      404.18625      727.82875      853.06500      692.12500      500.58875      362.81500      566.41000      585.73625      435.38500      208.16125      486.57750      851.90000     1295.67000      694.17375      924.64125      496.85250      928.26500      568.92000      563.15125      718.91500      877.53500      177.58625     1103.34880      391.68000      277.68750      809.14875      579.28750      848.41500     1028.85000      674.45750      621.32750      988.06250      548.60625      952.68625      389.38250      919.19500      532.99750      572.96750      326.12375      471.53375      763.95125     1941.43000     1113.21380     1778.79620     2048.47880      326.47875      313.81250      497.31375     1026.01750     2268.18120      702.44500      495.32500      606.83875      759.93125      349.31250      219.10375     1150.46250      479.23625      543.47000     1204.29500
            129      486.82875      372.07750      661.68125      518.37375      774.72250      826.44250      609.88625      265.43000      289.24875      876.22125      733.16125      176.06875      502.11750     1205.47880     1131.05620      715.60500      891.96000      234.09875     1066.21620      503.78000      442.67625      773.93250      513.12125      222.16875      720.27125      294.56625      309.23500      569.93125      609.81625      699.43250      971.23750      387.37375      400.89000      894.27500      422.24125      621.08750      655.38750      583.84375      812.82875      550.41125      279.85500      290.34750      888.89625     1096.58380      824.58375     1655.05000     1484.39370      578.23750      465.24750      318.17125      622.18625     1184.49000      597.99375      598.65625      660.45875      909.91500      861.67750      309.30250      673.43750      558.95625      226.22500     1378.29120
            130      517.99750      326.38750      405.83375      425.56375      567.08000      787.46375      536.93750     1259.42250      430.69750      404.35375      550.19500      174.57000      618.90375      832.55750      938.35250      514.28000     1458.85870      976.43125      938.40500      506.46625      397.55250      825.92000     1603.65750      177.52500     1331.78750      413.58000      349.22625     1152.69750      617.67625     1038.54500     1098.59880      565.15875      858.53625      999.30500      411.12625      771.71625      418.47500      911.53000      459.82250      756.35625      395.98125      379.02500      781.84500     1564.17250     1451.32500     1473.89000     1537.94380      359.82250      454.20500      677.65125      808.73375     2679.99620     1047.94880      433.39125      412.00250      644.38625      388.70375      372.97000     1208.15500      491.75750      473.14000      991.10750
            131      973.88500      672.19625      591.84500      963.92875     1100.23380     1260.44250      415.38875      283.61250      392.70875     1028.46880     1134.69120      170.62000      224.03250      971.18000     1413.75120      599.46750      571.14125      658.38000      570.10500      636.11625      753.31375      565.68875      228.98000      753.15375      617.94375      552.36250      546.28250      940.40125     1624.09500     1303.41250     1230.86620      773.70375      660.61750      794.37000      592.40750      354.88125     1580.14750      343.35625      611.29625      607.91250      222.99500     1602.06000      504.97875     1168.53870     1118.13370     1075.46120      717.13875     1049.89620      665.86125      311.55375     1985.49880      737.73750      379.20625      755.90875      554.65250      689.58375      415.45500      303.32125      593.43125     1249.84000      548.56875     2144.11250
            132      489.73077      458.93077      300.80192      377.50769      650.30962     1128.98650      400.45769      231.06538      315.37500      224.35192      639.88269      181.72692      730.84038     1425.83270      900.73462     1525.47880     1362.24810      170.16346     1275.11150     1449.28850      665.77500     1744.00000      725.31538      463.05962      527.48462      281.18077      374.95962      571.00962      463.10385      583.50385      792.76346      479.61538      568.32308      642.20192      243.34038      578.77500      512.80962      399.36923      485.07115      490.78654      351.49423      395.73654      583.05962      895.59231     3040.19230     1645.35960     1463.47880      328.54038      424.30000      393.88269      637.79808     1201.36730      759.48462      285.17500      484.49808      815.67308     2490.12690      275.15385      684.79423      447.23846      317.66731      880.34615
            133      765.74444      562.75417      169.87917      424.93750      530.01806      875.14306      532.06667      291.19861      590.88472      367.37222      738.40694      168.25000      770.45417     1412.27080     1786.87220     1150.27500     1074.48610      928.06389      755.44167      767.97639     1306.39170      935.84583      318.07222      487.65833      849.14306      541.38889      371.99306     1375.76940     1320.28750      707.19167      707.48611      561.62222      412.37361      966.96111      755.62500      333.65694      692.07083      319.55139      560.11250     1173.01530      602.31944      373.17361      530.28750     1522.65970     1706.63330     1934.29860      996.03056     1018.09860     1132.96530      510.55417      506.25833     1416.01250      675.45972      604.34583      478.11528      736.93750      368.87222      947.95000      974.42500      737.73472      614.95000     2231.45560
            134     1297.98570      499.29881      303.31071      315.62381      603.15833     1472.73930      353.25714      264.27262      855.72381      469.22738      823.47619      170.16548      342.57024      868.14762     2282.01190      955.13452      544.86667      440.11548      416.69881      356.62976      880.40952      636.75952      167.08571      260.88095      553.43333      367.38929      412.43690      715.05833     1017.81190      913.26071      672.33690      659.34643      549.43571      495.85833      521.06071      312.75833      698.39405      288.67619      321.08571      636.57857      338.91905      513.25476      356.50714     2015.82620     1482.40240     1334.74170      820.39643      544.57976      732.96190      325.27381     1136.75830      910.37024      396.84048      298.99762      297.75000      481.85952      411.88571      340.18810      446.01667      551.33690      447.29405     2041.82740
            135      560.13500      489.29500      607.36375      812.98875      652.84875      609.51000      482.18250      485.08875      700.41750      988.43250      473.56375      200.01000      612.19625     1030.48250     1262.66130      808.86750      896.17125      599.17625     1177.62750      387.88375      345.18625      629.51500      583.12500      439.71625     1071.85000      390.90000      291.15250      756.42250      431.74000      632.89250      556.22000      473.71875      640.95125      977.80500      378.97125      634.79250      642.30875      625.76500      404.77750      538.08250      299.42000      503.04000     1028.00250     1277.83120     1115.33250     1598.91620     2251.49870      485.67375      166.83250      391.86250      566.43750     1234.66880      619.45625      643.44000      552.48125      562.30750      810.84250      285.94625      689.83000      492.35125      399.48875     1140.42380
            136     1035.54500      523.50000      539.25750      563.28750      905.03500     1075.41000      754.62000      872.26375      436.90125      713.35000      654.85750      165.52375      741.02750     1020.41620     1992.18000      936.29500     1777.21120     1237.73630     1580.26380      865.02625      610.24000     1135.51870      768.26250      271.80000     2379.37380      590.43625      500.25000     2054.45130      861.52250     1458.39120     1555.64380      852.59500     1384.08500     1649.20250      774.28875     1330.39250      959.33125     1608.10250     1041.76620     1511.56380      524.46000      847.34750     1384.64880     2658.74120     1567.87750     3410.15630     3342.63130      613.83250      479.59375      437.47375     1047.89000     3852.23870     1498.46000      955.63000      630.47875      813.38000      754.07500      549.67000     1194.78880      806.59500      815.86875     1632.04870
            137      926.85750      629.48500      410.80500      644.02375      785.22500      972.88125      500.45375      576.73625      632.16875      646.13750      959.30625      226.37125      332.16375     1508.03750     1399.71500      651.46500      779.62250      676.44125      684.69125      523.09000      928.24375      669.49750      235.02500      402.61000      528.02875      342.82625      319.31750      523.22875      766.44875      741.39750      663.84000      358.96125      315.24875      419.69000      398.49375      181.93250      550.90500      164.63250      556.30875      523.56125      262.56375      516.80500      678.12250     1035.66380     1401.03380     1033.58500      735.96250      743.49250      761.72000      384.86000      484.73625      710.46625      379.33000      478.23250      348.36875      532.21125      396.89000      351.92375      532.80750      667.53375      449.84125     1127.03380
            138      505.06750      558.35875      434.57500      696.59375      923.52250     1325.92620      554.47375      678.45625      370.71750      528.85875      529.20250      161.72000      434.85125      734.77250     1840.71130     1047.53370     1548.23250     1882.69120      973.87125     1018.54500      615.96750     1385.90130     1948.49380      409.10375     2363.98750      781.21375      655.77500     2426.18630     1928.90880     1951.50880     2201.08750     1161.46380     1870.57000     2680.78750      751.29375     2983.28500     1116.50750     2983.79750     1009.07000     1639.67620      584.53875     1371.38250     1428.30250     4199.81620     1300.72880     4052.48870     4033.60620      519.07875      366.80750     1127.58380     3490.59000     3597.64120     1548.02630     1589.51000     1037.63750      936.66750     1326.17500      770.10375     1833.47120     1777.43120     2124.47500     4029.86500
            139      429.33500      391.42125      324.83250      334.03125      510.51750      668.07250      587.77375     1487.31620      308.05000      336.11500      397.53000      200.72125      288.19625      323.72250      661.06500      235.64000      833.46625      633.50750      456.79500      276.78125      240.48125      472.46875     1125.19750      213.68625      962.34375      177.02375      240.89500      997.81750      719.52875      589.38500     1056.97250      335.46500      556.58750      884.50125      342.41375      684.57375      622.99125      935.87000      367.11750      588.65000      344.67875      509.52875      914.25750     1289.71870      762.29750      902.29500     1566.47750      556.02125      171.62625      707.05375     1693.59620     1487.94500      604.81500      462.67000      451.54500      284.67750      335.42750      160.81125      553.06750      446.68375      375.88375     1241.67380
            140     2183.21000      825.50250      332.66500      330.43750      641.23125     1500.11250      728.49375     1750.28250      352.15875      331.24500     1322.23750      160.24750     1105.99380     1191.51380     1575.27120     1668.89880     1067.78750     1126.76370     1870.03870      920.73250     1626.23370     1019.85620      419.37875      204.27625     1628.86250     1134.99370      824.81875     2259.43750     2569.66880     1249.99630     1286.79500      366.92500      542.12625     1525.16380     1049.52000      579.75125      747.48000      955.87625      847.82875     1517.88630     1051.56880      606.37125      715.50000      952.08500     2252.56620     1854.20880     2050.08000     1150.86000      694.13250      315.46875     2006.56500     1570.88380     1718.02500      584.43375      296.74125      950.59125      759.15500     1008.50370     1196.23750     1752.94120      844.69875      523.61625
            141      371.04875      278.51000      311.53500      723.85000      645.41375      457.44750      288.17500      562.64875      398.51125      542.05000      322.34875      159.55000      592.12875     1057.71250     1319.35120      741.41000      897.68625     1381.75620      828.87750      933.63125      621.11625      779.04000      675.38875      257.55250     1309.51380      917.01750      633.83500     1050.24880      940.99625     1264.30250     2111.85000      978.40125     1166.87750     1322.25000     1004.30370     1331.45630      637.22750     1159.88880      608.26125      671.44250      535.97375      434.15000      920.46000     2956.79630     1882.52620     3102.35000     3436.65380      379.45500      360.71125      665.46250     1854.90000     4531.63870     1481.95620      907.91000      656.53375      875.89125     1042.89380      482.68375     1257.32500      799.87875      438.81000     1977.30380
            142      478.75625      572.10000     1108.78750     2872.82250     1453.65500     1995.31000      455.05500      203.94375      312.25625      652.79125      970.67250      159.48750      736.69875      830.92250     2066.01620     1260.44120     1399.40000      225.48375     1681.99250     1372.49000      438.76750     1568.32870     1603.26000      551.83125     1769.50250     1325.62120      395.25750      539.24250      874.12375     2860.03380     2808.46500      605.54500      488.69000      811.93250      460.36875      568.43875     1116.11880      523.86250      418.69750      826.47750      465.68500      634.24875     1055.30250     1713.29000      910.46000     2076.05250     5224.66620      324.38125      204.52875      449.11625     1354.93500     1063.89620      844.76750      566.04375      645.93625      700.30625     2153.85380      219.32375      734.02500      618.84500     1538.65750     1016.72250
            143      410.13875      495.84375      614.78250     3044.33500      543.06500     4120.39370     1529.27500      773.30375      699.32375      502.99125     1093.20380      513.40500     1160.09380      768.94250     1083.41750      882.89625     2391.11750      416.13375     1885.79620      463.01500      357.46625     1191.72120      335.03125     1660.73620     1288.90750      156.99000      186.70875      520.76750      228.50125      477.49375     4394.59380      372.21125      262.81000      468.80500      320.46625      348.86500      285.38625      390.32250      417.72750      293.99625      173.60125      336.24250     1072.27750     1171.82380     4810.61750     1130.31370     1299.38120      492.10250      421.62000      270.85750      355.33500      842.03625      509.19875      252.27500      290.51125      474.78000      620.43750      191.45375      556.45625      508.00000      236.37125      805.58750
            144      742.82125      156.80750      298.75125      482.96750     1347.47250      772.29500      462.01875      745.74875      263.34375      610.51500      990.30125      296.99250      737.34375      735.81000      773.16625     1139.40130      674.57500      567.27875      474.52750      887.45250      831.43750      541.28625      805.11500      172.88375      971.99000      809.42500      880.21625     1158.69500     1568.00500     2011.31000     2287.69120      495.89125      738.55250      977.17875      537.10875      540.81125      755.39125      857.89000      511.12500      288.15125      335.95125      665.58250      619.81625     1128.15880     1812.22000     1166.33750     1490.44250      447.83375      619.28875      158.14000      265.54750      661.27625      477.33125      207.57000      665.88625      612.81875      346.66875      261.50875     1042.41500     1379.43500      539.93375     1675.16750
            145     1842.50620      475.79375      604.20000      704.32750     1969.33380     1274.65250     1068.58620     1765.95500      714.73750     1305.92500     1808.15620      370.55875     1484.59880     1307.36130     2883.35880     2825.40620     1686.82130      863.20625     1207.62870     1151.53120     2503.43120     1079.03380      726.49250      154.36500     1490.16120     1393.09250     1162.95250     2071.72620     3087.32750     4041.36000     1009.15370      837.40875      894.82375     1606.90500      591.59875      905.18500     1552.72130     1433.99750      955.43625     1187.49880      362.76625      439.66375      659.73875     2539.55000     4342.76380     2227.41500     3348.96250      686.67375     1393.26750      461.25625      581.93375     1350.12750      712.57500      654.11125      960.84500     1323.52370      320.20500      442.03875     1425.15120     1445.49250      732.92625     2693.86500
            146      564.93611      418.43889      558.72500      441.76944      804.22500      768.96389      428.87500      276.89444      480.37500      654.25833      708.69444      250.23889      521.93333      537.03056      753.94167      542.52778      566.68333     1063.72220      626.77500      356.01667      238.20000      379.75833      713.88333      342.97222      740.41944      283.03333      328.91667      504.13889      822.42778      860.18889      745.14444      582.01389      421.08333      629.28333      266.71111      478.56389      755.95000      567.41944      658.39167      295.49722      277.73056      419.86389      884.30278      894.18056      676.26389      793.37500      711.75833      468.18889      317.99167      558.52778     1046.64440     1249.30000      688.44444      713.56389      692.24444      314.57778      546.36389      153.84444      465.14167      459.94444      272.16667     1097.89720
            147      242.65500      200.77375      553.76750      503.48625      391.74750      593.88875      292.96250      374.12500      337.29000      240.95375      349.13750      153.47250      272.39750     1201.33130     1615.40380     1123.75380      698.29375      387.12125      650.83000     1453.17380      975.55500      804.83250      341.49000      180.58375     2093.63120      477.83250      461.53875     1176.07620     1498.03380     1398.28500      929.31500      565.60375      538.46750     1700.61750     1549.39130     1312.25380     1754.43250     1517.16870      787.09000      384.19750      818.69750      396.63375     1211.73370     3450.17380     1006.42250     4171.08380     4170.56500      692.54250      168.27875      563.21375     1879.17120     1947.62750     1458.82250     1227.96500      304.54750      552.38875      473.84125      576.90375      307.31625     2235.57870     1235.80750     1777.08500
            148     1403.67740     1648.63930      221.72500      417.10119      771.64524     1899.42980      756.35476      988.31071      572.39881      202.57976     1130.78570      308.32857      316.69643      676.33929     1211.91790     1707.04290      588.84167      835.52857     1199.09400      152.75714      521.16310      320.43571      360.45000      799.79881     1267.65600      743.29643      925.89167     2705.06070     2776.46190     1304.48450     2713.79880      276.00119      556.64048     1884.73330     1097.69880      668.50833     1361.84290      601.59167      582.31786      534.95357      951.23214      915.33333      934.68095     1289.98570     2442.54290     1114.71550     1346.50120     1033.35830      485.16429      333.96071     2444.40120      720.80238      630.90357      563.80476      520.24405      506.60476     1043.98810      738.49286      283.87024     1383.49400      279.09048      454.82857
            149     1624.97000     1314.51880      157.73250      600.11875      593.98125     2352.47500      529.40375     1099.38880      680.87375      681.14500     1011.13500      152.58750      726.20500      730.70750      623.84750      956.03500      572.64500     1546.56130      436.59625      685.29500      575.33375      906.72375      252.65000      816.74375     1106.04870      858.77125     1154.97880     1330.47250     1320.97620     2035.54250     1644.05000      307.15500     1200.13500      991.52500      824.18000      488.91625      973.97125      574.12125      728.68625     1662.79000      600.59125     1273.93750      788.75625     1242.90120     1295.43000      448.00250      992.32500     1443.16620      493.27125     1283.53380     1109.93250     3326.86130      745.55875     1236.88120      347.64500      511.19375      355.29375      654.55750      600.93625      921.59875      498.48750     4674.69000
            150      753.39333      570.76833      188.88000      310.82500      546.62000     1687.40500      687.52833     1348.03830      550.96167      256.70333      666.46833      169.89000      287.14500      330.35000      868.31333      250.98333      704.85500      477.61833      203.36000      270.84333      300.75667      507.00667      447.05167      436.67500      868.77000      523.14167      581.75000     1022.72330     1187.77830     1393.23500      928.79500      468.19333      607.31667      937.86833      574.42500      359.51833      854.23167      410.17167      381.74833      941.58667      260.50667      655.19333      339.39167     1083.70500     1019.49500      844.08833      805.83167      681.86167      349.39500     1077.93000      835.15500     1130.59330      750.18000      480.71667      401.31833      152.43000      260.45167      541.19667     1430.85000      820.36833      193.38333     1565.42000
            151      669.40595      587.75952      885.69762      989.85595     1011.90360      817.53095      875.15595      457.06905     1330.86670      866.09167      851.85595      633.16548      509.86905     1163.33810      223.56548      394.70476      823.81667      326.23929     1176.78210      249.70714      217.49048      594.70476     1189.12260      392.49762     1715.36790      410.85952      405.20238     1353.52620      777.80238     1056.38210     1353.46190      703.86667      818.86905     1736.18690      642.43452     1108.54520     1022.34400     1039.90710     1078.59170      875.40119      560.26429      667.66071      945.57619      764.24762      905.99286     2007.85600     1681.01670      540.02024      150.15595     1243.40600     1499.29050     1354.32740      918.31786      977.68810     1053.78810      559.10476      280.84167      543.49405     1202.80000      927.62262      400.38810      922.37857
            152      850.58250     1466.99750      582.07625     2063.53880     1151.42750     2308.05120      402.93750      344.86375      266.07000      348.65125     1191.30250      145.77000      505.86250      739.02375      931.46250     1759.68880     1036.37250      382.02375     1990.41880     1200.94250      926.37125      685.23750      631.12875      966.28875     1617.90750     1666.54000      639.11625     1157.99870     2175.81380     2946.60370     3114.79370      302.72250      230.54750     1130.45250      588.59125      344.29625     1626.54880      254.64750      483.08375      686.36125      836.53125      899.66250      850.27500      968.61625     1861.92120     1342.93880     2365.97380      564.66250      489.87750      422.35500     1682.10250      673.80000     1202.59380      656.73750      532.80375      480.47125     2978.38630      458.67750      613.06000      701.41875     1791.44500      617.14875
            153     1198.89620     1490.76380      241.18125      145.27250      561.35125     1020.11880      589.86625      983.41750      282.70625      184.85375     1325.74130      157.55875     1601.08000     1994.65130      581.90625      804.21375      639.41375      690.23750      564.75250      894.66625      962.42000      894.91125      253.95500     1461.00500      590.27875      387.19875      579.85125     1022.88750     1249.94000     1055.35380     1552.52880      155.36375      399.46125     1117.38250      325.11750      412.45250     1138.48500      214.40375      506.50625     1357.84380     1337.01000      322.76125      801.65375      803.58375     1714.03000      663.29375     1504.92250      845.98750     1679.31620      246.21750     1340.42130     1963.70380      476.06875      380.35250      538.16875      472.82500      536.73250      515.96875     1596.29880     1203.87500     1052.63750      743.17250
            154      874.99250      376.24750      804.93750      987.86625     1106.48500     1427.14370      621.97750      248.52000      489.75750      860.49500      864.44750      145.00125     1323.07250     1340.03000     2553.27500     1755.00620     1968.88380     1146.65250     2002.91250     2037.55380      752.42250     1864.16620     2030.73120      372.23875     1998.95250      560.04750      652.31750     1597.77370     1039.97250     1608.53380     2737.22870     1485.56750     1097.81750     2440.83880      857.88000     1473.93750      673.14625     1112.75000     1152.84750     1081.52500     1010.16750      438.13000     1330.62250     2344.65250     2918.09120     3559.08250     3119.23120      553.10750      661.77375      594.52875     1300.31750     3440.17620     1167.81250     1011.67250      750.36500     1512.36250     1835.90120      532.13375     2446.11380      770.22625     1798.71880     1825.07750
            155     1441.01750      363.48125      559.15750      618.00375     1876.73870     1273.80880      367.00000      431.06000      303.00250      966.89500     1250.82750      286.79875     1158.59120     2866.97500     2651.56870     4219.02880     1271.77880      757.54875     1390.45870     2290.29250     2638.09250     1218.13500      378.91875      293.00875     1403.28750     1134.21750     1050.64000      914.62125     1877.74500     1588.95250     1193.47370     1258.09500     2265.22000     1818.33250      396.91750      787.19375     2748.26630      568.17625      933.09000     1154.65250      712.93500      585.51875      540.80000     2023.35000     3976.79250     2350.53620     4251.27880      413.52250     1950.67130      144.91000      331.22000     1107.64500     1024.78370      244.75750      926.94375     2358.95130     1837.83620      613.59625      910.41750      597.28750      868.19000     2988.08380
            156      455.89750      878.34875      160.62500      624.87125      618.99500      711.29750      615.95875      409.77500      468.94875      212.49500      735.08375      464.63625      831.11625      947.75125      576.82375      669.54500      833.86875      690.12625      775.27125      318.90250      416.72625      422.31125      289.04500      899.91125      695.25250      325.76250      447.70125     1013.38870      808.19875      850.95375      905.24875      144.78875      220.53875      817.73875      335.81875      248.33500      671.15875      217.72250      586.58500      661.40250      594.37000      574.59250     1004.44000      441.48250     1519.41250      555.48125      819.86875      676.79250      506.99750      314.53250      904.31375     1111.54750      543.83000      498.41750      322.14500      286.93875      520.04125      382.77250      964.81500      754.77875      560.69000      298.08125
